repository,pr_number,pr_outcome,weighted_negativity_ratio,total_feedback,has_any_negative_feedback,num_positive_comments,num_neutral_comments,num_negative_comments,total_comments,num_positive_reviews,num_neutral_reviews,num_negative_reviews,total_reviews,num_positive_review_comments,num_neutral_review_comments,num_negative_review_comments,total_review_comments
terminal,687,rejected,0.08888888888888889,22.5,1,0,7,2,9,0,2,0,2,0,3,0,3
terminal,265,merged,0.08955223880597014,33.5,1,3,5,0,8,1,4,0,5,0,4,1,5
terminal,662,merged,0.0,33.5,0,1,8,0,9,2,1,0,3,0,6,0,6
terminal,486,rejected,0.23880597014925373,33.5,1,1,7,2,10,1,0,0,1,0,5,2,7
terminal,87,merged,0.12345679012345678,40.5,1,0,4,0,4,1,1,1,3,0,9,1,10
terminal,798,merged,0.2318840579710145,34.5,1,2,4,2,8,1,0,0,1,2,4,2,8
terminal,743,merged,0.0,41.5,0,1,2,0,3,0,1,0,1,0,12,0,12
terminal,595,merged,0.0,43.5,0,0,0,0,0,2,0,0,2,3,10,0,13
terminal,397,merged,0.0,26.5,0,2,0,0,2,1,2,0,3,4,2,0,6
terminal,602,merged,0.03773584905660377,26.5,1,0,6,1,7,1,1,0,2,0,5,0,5
terminal,504,merged,0.2222222222222222,22.5,1,1,5,2,8,1,0,0,1,0,3,1,4
terminal,556,rejected,0.0392156862745098,25.5,1,1,4,1,6,1,1,0,2,0,5,0,5
terminal,753,merged,0.08955223880597014,33.5,1,1,1,0,2,1,1,0,2,1,7,1,9
terminal,266,rejected,0.08,12.5,1,0,11,1,12,0,0,0,0,0,0,0,0
terminal,590,merged,0.0,22.5,0,1,5,0,6,1,1,0,2,0,4,0,4
terminal,794,merged,0.0,23.5,0,1,4,0,5,2,1,0,3,0,4,0,4
terminal,390,merged,0.16326530612244897,24.5,1,1,1,1,3,0,3,0,3,1,3,1,5
terminal,349,merged,0.0,23.5,0,3,1,0,4,0,2,0,2,2,3,0,5
terminal,299,merged,0.13333333333333333,22.5,1,1,2,0,3,2,0,0,2,2,2,1,5
terminal,382,merged,0.0,11.5,0,1,8,0,9,0,1,0,1,0,0,0,0
terminal,431,rejected,0.0,26.5,0,0,2,0,2,0,0,0,0,0,8,0,8
terminal,699,merged,0.12121212121212122,16.5,1,1,3,2,6,0,2,0,2,0,2,0,2
terminal,638,merged,0.06451612903225806,15.5,1,0,5,1,6,0,0,0,0,0,3,0,3
terminal,119,merged,0.0,16.5,0,3,2,0,5,1,0,0,1,0,3,0,3
terminal,196,merged,0.0,23.5,0,0,1,0,1,0,2,0,2,0,6,0,6
terminal,423,merged,0.0,10.5,0,0,8,0,8,1,0,0,1,0,0,0,0
terminal,477,rejected,0.14634146341463414,20.5,1,0,3,0,3,1,0,0,1,1,3,1,5
terminal,578,rejected,0.0,9.5,0,0,9,0,9,0,0,0,0,0,0,0,0
terminal,633,rejected,0.0,16.5,0,1,4,0,5,0,1,0,1,0,3,0,3
terminal,658,merged,0.08,12.5,1,1,3,1,5,0,2,0,2,1,0,0,1
terminal,702,merged,0.0,9.5,0,1,8,0,9,0,0,0,0,0,0,0,0
terminal,836,merged,0.1276595744680851,23.5,1,1,0,0,1,1,1,0,2,0,5,1,6
terminal,185,merged,0.0,23.5,0,0,0,0,0,0,1,0,1,0,7,0,7
terminal,263,rejected,0.11764705882352941,8.5,1,1,6,1,8,0,0,0,0,0,0,0,0
terminal,262,merged,0.0,14.5,0,1,1,0,2,2,1,0,3,0,2,0,2
terminal,375,merged,0.0,18.5,0,1,1,0,2,0,2,0,2,0,4,0,4
terminal,461,rejected,0.11764705882352941,8.5,1,4,3,1,8,0,0,0,0,0,0,0,0
terminal,749,merged,0.09302325581395349,21.5,1,0,0,0,0,0,2,1,3,0,5,0,5
terminal,710,merged,0.09523809523809523,10.5,1,0,5,1,6,0,2,0,2,0,0,0,0
terminal,730,merged,0.0,8.5,0,1,7,0,8,0,0,0,0,0,0,0,0
terminal,769,merged,0.0,22.5,0,0,1,0,1,0,0,0,0,0,7,0,7
terminal,786,rejected,0.10526315789473684,9.5,1,1,5,1,7,0,1,0,1,0,0,0,0
terminal,813,merged,0.1935483870967742,15.5,1,0,4,0,4,0,1,0,1,0,2,1,3
terminal,190,merged,0.0,12.5,0,1,3,0,4,0,1,0,1,0,2,0,2
terminal,180,rejected,0.0,10.5,0,1,4,0,5,0,1,0,1,0,1,0,1
terminal,165,merged,0.0,19.5,0,0,0,0,0,0,2,0,2,0,5,0,5
terminal,253,merged,0.1935483870967742,15.5,1,1,1,0,2,2,0,0,2,0,2,1,3
terminal,533,merged,0.0,16.5,0,0,2,0,2,1,0,0,1,1,3,0,4
terminal,527,merged,0.3448275862068966,14.5,1,0,1,2,3,0,1,0,1,1,1,1,3
terminal,557,rejected,0.11764705882352941,8.5,1,1,4,1,6,0,1,0,1,0,0,0,0
terminal,701,merged,0.15384615384615385,19.5,1,0,0,0,0,1,1,0,2,0,4,1,5
terminal,264,merged,0.13333333333333333,7.5,1,1,5,1,7,0,0,0,0,0,0,0,0
terminal,772,merged,0.23529411764705882,8.5,1,2,2,2,6,0,1,0,1,0,0,0,0
terminal,788,rejected,0.05714285714285714,17.5,1,0,1,1,2,0,0,0,0,0,5,0,5
terminal,777,merged,0.0,15.5,0,2,1,0,3,0,0,0,0,0,4,0,4
terminal,95,rejected,0.0,11.5,0,0,3,0,3,0,1,0,1,0,2,0,2
terminal,234,rejected,0.15384615384615385,6.5,1,1,4,1,6,0,0,0,0,0,0,0,0
terminal,333,rejected,0.15384615384615385,6.5,1,2,3,1,6,0,0,0,0,0,0,0,0
terminal,391,rejected,0.15384615384615385,6.5,1,0,5,1,6,0,0,0,0,0,0,0,0
terminal,468,rejected,0.0,14.5,0,0,2,0,2,0,0,0,0,0,4,0,4
terminal,537,rejected,0.11764705882352941,8.5,1,0,3,1,4,0,2,0,2,0,0,0,0
terminal,571,rejected,0.0,6.5,0,2,4,0,6,0,0,0,0,0,0,0,0
terminal,680,rejected,0.26666666666666666,7.5,1,1,4,0,5,0,0,1,1,0,0,0,0
terminal,751,rejected,0.0,6.5,0,0,6,0,6,0,0,0,0,0,0,0,0
terminal,785,merged,0.0,16.5,0,1,0,0,1,0,0,0,0,1,4,0,5
terminal,105,rejected,0.0,5.5,0,0,5,0,5,0,0,0,0,0,0,0,0
terminal,189,merged,0.15384615384615385,6.5,1,0,3,1,4,0,1,0,1,0,0,0,0
terminal,129,merged,0.13333333333333333,7.5,1,0,2,1,3,2,0,0,2,0,0,0,0
terminal,157,merged,0.11764705882352941,8.5,1,0,1,1,2,1,2,0,3,0,0,0,0
terminal,275,merged,0.0,14.5,0,0,0,0,0,0,1,0,1,0,4,0,4
terminal,432,merged,0.0,11.5,0,0,2,0,2,0,0,0,0,0,3,0,3
terminal,447,merged,0.0,6.5,0,1,3,0,4,1,0,0,1,0,0,0,0
terminal,435,merged,0.0,10.5,0,2,0,0,2,1,0,0,1,1,1,0,2
terminal,547,rejected,0.15384615384615385,6.5,1,0,3,1,4,0,1,0,1,0,0,0,0
terminal,552,rejected,0.0,5.5,0,1,4,0,5,0,0,0,0,0,0,0,0
terminal,580,merged,0.15384615384615385,6.5,1,1,2,1,4,1,0,0,1,0,0,0,0
