id,pr_number,user,created_at,body
830140426,193,mtwebster,2021-04-30T14:38:33Z,Please test more.
830196687,193,ItzSwirlz,2021-04-30T16:02:32Z,"Will do then if it's better I can test two different computers since it's available.

You may be wondering what the hell is going on with the cash crap and that's because compiler complains so I didn't want to introduce something annoying"
25814302,3,clefebvre,2013-10-07T14:45:55Z,"When does it fail?
"
25815055,3,leigh123linux,2013-10-07T14:54:10Z,"The bug is marked private for some stupid reason

 https://bugzilla.redhat.com/show_bug.cgi?id=1014881

```
Truncated backtrace:
Thread no. 1 (10 frames)
 #2 _gdk_x11_display_error_event at gdkdisplay-x11.c:2533
 #5 handle_error at xcb_io.c:213
 #7 XRRSetCrtcConfig at XrrCrtc.c:147
 #8 gnome_rr_crtc_set_config_with_time at /lib64/libcinnamon-desktop.so.4
 #9 configure_crtc at /lib64/libcinnamon-desktop.so.4
 #10 g_hash_table_foreach at ghash.c:1526
 #11 gnome_rr_config_apply_with_time at /lib64/libcinnamon-desktop.so.4
 #12 apply_configuration at /usr/lib64/cinnamon-settings-daemon-3.0/libxrandr.so
 #13 use_stored_configuration_or_auto_configure_outputs at /usr/lib64/cinnamon-settings-daemon-3.0/libxrandr.so
 #14 on_randr_event at /usr/lib64/cinnamon-settings-daemon-3.0/libxrandr.so
 #14 on_randr_event at /usr/lib64/cinnamon-settings-daemon-3.0/libxrandr.so

```

backtrace

http://pastebin.com/eC6uatVJ
"
25877131,3,leigh123linux,2013-10-08T09:50:10Z,"https://bugzilla.redhat.com/show_bug.cgi?id=1013187
"
246603469,70,maxyz,2016-09-13T07:52:21Z,"This is caused by my update to the autogen.sh, that I was sure it was being run by Debian's dh_autoreconf, but it isn't. I'll need to review the gnome-macros pull requests.
Anyway, why no using the canonical optional gtk-doc? (As documented here: https://developer.gnome.org/gtk-doc-manual/stable/settingup_autoconf.html.en)
"
246608645,70,itzexor,2016-09-13T08:15:29Z,"I just copied over the same fix that was applied in cinnamon-screen saver a month ago. Btw @leigh123linux and I don't use Debian-based distros, we are just trying to get it to build successfully as it did before just running autogen.sh and make.

https://github.com/linuxmint/cinnamon-screensaver/commit/39893ad00bb3597ba49ba981b08f7ff03c693690

Edit: This is the output of ./autogen.sh without this patch: http://dpaste.com/1V63DXT.txt
"
246641042,70,maxyz,2016-09-13T10:31:32Z,"That's what I meant. I've only tested this in Debian that's ignoring the autogen.sh script, my mistake.

About the macro, I would strongly suggest the use of canonical rules whenever possible, it's hard enough to maintain the auto\* stuff as to having to review minor differences for common patterns.
"
262498995,80,clefebvre,2016-11-23T12:19:24Z,@mtwebster can you review this PR?
262499773,80,mtwebster,2016-11-23T12:23:41Z,"I've had it merged on my local branch for a while, was just working on fixing fingerprint support.  I'll merge it now though."
262500799,80,clefebvre,2016-11-23T12:29:13Z,tx :)
1033523929,204,Fantu,2022-02-09T09:09:10Z,"@mtwebster from CI builds fails seems there is file missing:
`schemas/meson.build:32:2: ERROR: File org.cinnamon.desktop.peripherals.gschema.xml.in does not exist.`"
1033673959,204,mtwebster,2022-02-09T11:46:17Z,"Fixed, sorry"
1118926119,204,Fantu,2022-05-05T18:40:24Z,"@mtwebster I prepared a rebase solving a small conflict, if you want use it:  https://github.com/Fantu/cinnamon-desktop/commits/muffin-5.2-test"
46093787,13,Fantu,2014-06-14T17:13:36Z,"@mtwebster : also this fix and update po/POTFILES.in
"
46094495,13,mtwebster,2014-06-14T17:42:11Z,"Ack - looking at the diff hangs firefox pretty good :)
"
265129195,82,clefebvre,2016-12-06T11:39:31Z,"Cool, @leigh123linux can you confirm this is fine with Fedora?"
265130405,82,leigh123linux,2016-12-06T11:46:02Z,Looks good to me.
377015318,105,marmistrz,2018-03-28T19:55:47Z,@JosephMcc ping
381567287,105,clefebvre,2018-04-16T11:26:23Z,"As the key is only used in csd (and the other PR is still being dicussed, please put it in https://github.com/linuxmint/cinnamon-settings-daemon/blob/master/data/org.cinnamon.settings-daemon.plugins.power.gschema.xml.in.in instead)."
381425205,111,Fantu,2018-04-15T17:57:54Z,build tested here: http://debomatic-amd64.debian.net/distribution#dpr-lmde-stable/cinnamon-desktop/3.7.0~4
381615145,111,clefebvre,2018-04-16T14:18:06Z,"stretch has debhelper 10, so I don't think we'll depend on 11.

everything else (except the version bump) was merged."
808424746,185,ItzSwirlz,2021-03-26T18:17:44Z,Just saying by the way-can we rename gvc files to 'cvc'? This isn't GNOME's thing this is ours.. we're branching from them. If we are going to branch/fork then make it our own. Just an idea.
808702036,185,Fantu,2021-03-27T09:32:08Z,@ItzSwirlz I think is good don't rename when not necessary to make easier/fast rebase/cherry-pick from origin (of fork) when needed
1919220175,236,mtwebster,2024-01-31T14:30:49Z,"96ae2a514a1ff0effe1181db47ff26b5e1267ad

The 'deprecated_warnings' is a typo, which is why you were getting this error.
"
2477012699,245,mtwebster,2024-11-14T17:26:50Z,Merged - https://github.com/linuxmint/cinnamon-desktop/commit/913198430f27852544f9443a250421168d3d4466
58702157,11,mtwebster,2014-10-10T19:07:30Z,"was manually merged
"
32080881,7,Frogging101,2014-01-11T00:39:43Z,"It still locks up, rarely. I'm closing this until I've fixed it for sure.
"
124238095,53,gerow,2015-07-23T20:56:48Z,"Relevant PR from cinnamon-settings-daemon: https://github.com/linuxmint/cinnamon-settings-daemon/pull/93
"
59355637,23,leigh123linux,2014-10-16T12:49:00Z,"closes

https://github.com/linuxmint/Cinnamon/issues/3564

and

https://github.com/linuxmint/Cinnamon/issues/3059
"
139856907,51,leigh123linux,2015-09-13T09:40:38Z,"Why is this needed?, I have no issue building c-d with make without this change.
"
234212619,67,maxyz,2016-07-21T10:10:47Z,"Something went wrong here. This patch breaks the build. I'll fix it.

Done.
"
260606810,79,leigh123linux,2016-11-15T10:36:17Z,"Mint also uses usr/include/cinnamon-desktop/libcvc

https://github.com/linuxmint/cinnamon-desktop/blob/master/debian/libcvc-dev.install#L1
"
265716521,83,leigh123linux,2016-12-08T11:16:27Z,Should address https://github.com/linuxmint/Cinnamon/issues/6059
433369379,112,clefebvre,2018-10-26T10:52:42Z,"I'll close this, we're staying with dh10 in LMDE 3."
414191278,119,collinss,2018-08-20T04:00:49Z,"Can you please explain why this is a good idea? If you build this without introspection, I don't know if Cinnamon will even work at all, but if it does, many important parts of it will definitely break (ie. calendar, sound, keybindings, to name a few). Also, if you don't have gobject introspection in general, that breaks pretty much everything."
526105667,130,leigh123linux,2019-08-29T09:30:33Z,"Fixes these build warnings.

```
../libcvc/gvc-mixer-stream.c:169: Warning: Cvc: invalid ""transfer"" annotation for guint32: only valid for array, struct, union, boxed, object and interface types
../libcvc/gvc-mixer-stream.c:497: Warning: Cvc: invalid ""transfer"" annotation for guint32: only valid for array, struct, union, boxed, object and interface types
../libcvc/gvc-mixer-stream.c:169: Warning: Cvc: gvc_mixer_stream_get_volume: return value: Missing (transfer) annotation
../libcvc/gvc-mixer-stream.c:497: Warning: Cvc: gvc_mixer_stream_get_base_volume: return value: Missing (transfer) annotation
[54/56] /usr/bin/g-ir-compiler libcvc/Cvc-1.0.gir --output libcvc/Cvc-1.0.typelib
```"
554092534,133,deskwizard,2019-11-14T21:40:18Z,Closed as requested.
547451613,134,schachmat,2019-10-29T14:36:08Z,Ping. Can I get a review for this patchset? I'm hoping to get this in before Cinnamon 4.4.
564500880,141,clefebvre,2019-12-11T11:33:35Z,"The bug is valid, but there's two issues in the PR:

- We should always use dgettext.. and never return format_string.. that's the actual bug.
- dcgettext can't be used, it fetches the translation from /usr/share/locale/$LANGUAGE/LC_TIME/cinnamon.mo... what we want is the opposite, we want /usr/share/locale/$LC_TIME/LC_MESSAGES/cinnamon.mo.

Superseded by https://github.com/linuxmint/cinnamon-desktop/pull/142"
732421905,174,ItzSwirlz,2020-11-23T20:57:40Z,"err... with Buster this sort of leaves us a *bit* behind... it's why LMDE 4 failed (dependencies)

We can either branch or just close this. I'll leave it to you guys"
773365387,178,mtwebster,2021-02-04T14:48:57Z,"I don't want whitespace commits, all they do is pollute git blame/history. We correct whitespace issues around other changes only."
1145172386,196,ItzSwirlz,2022-06-02T18:17:52Z,"With the likely upcoming Muffin rebase, I feel like holding this off."
1159263539,207,mtwebster,2022-06-17T22:05:39Z,Oops - thanks!
