id,pr_number,user,submitted_at,state,body
242278521,240,cas--,2019-05-27T13:47:51Z,CHANGES_REQUESTED,"thanks for investigating this, i has been meaning to test with 1.2... i don't want to make it 1.2-only yet so can this pr be just those changes to fix running on 1.2 (with deprecated enabled)"
862197264,347,cas--,2022-01-25T12:16:08Z,APPROVED,"code looks good, if you could squash the commits and put the full url to ticket in the message that would be useful. i can merge it later in week, do you have access to deluge git repo? i setup a libera.chat irc channel but i don't have the bandwidth to be on irc. i know that discord is popular, if you think it might help then can try it out."
893338128,377,cas--,2022-02-25T07:17:37Z,CHANGES_REQUESTED,"looks good, just need to remove an unwanted assert"
1003604989,386,cas--,2022-06-12T12:19:05Z,COMMENTED,could you clarify what has changed with pyinstaller 5?
87406985,175,aresch,2018-01-09T03:59:43Z,CHANGES_REQUESTED,"i've left some comments that i hope are useful. for what it's worth, i'm doing things a bit differently with spritzle now (using wait_for_alerts aswell), you can see my approach with it here: [a link] maybe it gives you some different ideas too."
988508254,385,cas--,2022-05-28T12:00:24Z,CHANGES_REQUESTED,"thanks for reporting and suggesting a fix, i have provided some feedback to improve it"
989031567,385,cas--,2022-05-30T09:06:58Z,APPROVED,"thanks for patience with this, looks excellent :+1:"
15759830,139,cas--,2017-01-10T11:01:16Z,CHANGES_REQUESTED,"i was reading up, trying to understand the situation and seen mentioned several times using `withcredentials` which seems to get the browser to supply the cookie. is this something you have tried? also there is a very long pr about what i think is the same issue and non-cookie session id is discouraged: [a link]"
43318834,158,cas--,2017-06-11T12:53:28Z,CHANGES_REQUESTED,this looks good and minor enough for 1.3 inclusion. if possible could you create a pr for `develop` branch as well? thanks
43320996,158,ratoaq2,2017-06-11T14:25:26Z,COMMENTED,i'll implement your changes after your feedback about __eq__ then i can open another pr in develop branch
2261375229,460,cas--,2024-08-26T19:46:56Z,CHANGES_REQUESTED,"this is a nice addition, just a few small changes"
175125029,226,doadin,2018-11-14T23:12:36Z,COMMENTED,seems to be issue with x86 more so than x64(pywin32)
892299224,380,cas--,2022-02-24T11:14:49Z,CHANGES_REQUESTED,if we are adding a deluged user service then we should also add a deluge-web user service
1449485142,404,cas--,2023-05-29T17:40:32Z,COMMENTED,"looks good, just a few questions and suggestions"
4652473,112,cas--,2016-10-18T11:52:10Z,CHANGES_REQUESTED,there are two separate issues but the commits are not distinct and need some description of changes. also the web test changes should be in a seperate commit. this will need backporting to 1.3 so a concise commit is more helpful to merge.
125608270,187,cas--,2018-06-04T14:52:19Z,CHANGES_REQUESTED,"there are changes to listen_interface logic with no justification, it is a comma-separated list of ip port-pairs. there is no mention in libtorrent of otherwise. also the deliberate logic to not allow ip address for outgoing_interface (on non-windows) should not be removed!"
137261636,203,cas--,2018-07-15T10:38:34Z,COMMENTED,an excellent solution! :)
844658948,332,cas--,2022-01-05T14:26:51Z,CHANGES_REQUESTED,we can just replace with `message` attribute since `exception_msg` was removed with changes to rpc protocol: 9b812a4eec6205b98
